id,female,city,age,logins,mandalorian,unsubscribe
1511,yes,yes,33,7,yes,unsubscribe
1512,no,yes,53,9,no,stay
1513,yes,yes,56,5,yes,stay
1514,yes,yes,44,0,yes,stay
1515,no,yes,38,5,yes,unsubscribe
1516,yes,yes,37,5,yes,stay
1517,no,yes,56,8,no,stay
1518,yes,yes,38,10,no,stay
1519,yes,yes,41,10,no,stay
1520,no,yes,38,9,no,unsubscribe
1521,no,no,56,0,yes,stay
1522,no,yes,43,0,yes,stay
1523,no,yes,42,0,yes,stay
1524,yes,yes,42,7,yes,stay
1525,no,no,52,7,no,stay
1526,yes,yes,49,3,yes,stay
1527,yes,yes,38,10,no,unsubscribe
1528,yes,yes,49,7,yes,unsubscribe
1529,no,no,51,0,yes,stay
1530,no,yes,44,0,yes,stay
1531,yes,yes,53,10,no,stay
1532,yes,no,55,7,no,stay
1533,no,yes,56,8,no,stay
1534,yes,no,46,0,yes,stay
1535,yes,yes,50,7,yes,unsubscribe
1536,no,yes,54,9,no,stay
1537,yes,yes,40,0,yes,unsubscribe
1538,no,yes,35,5,yes,stay
1539,no,no,48,8,no,stay
1540,yes,no,44,0,yes,stay
1541,yes,yes,56,5,yes,unsubscribe
1542,yes,yes,46,10,no,stay
1543,yes,no,46,0,yes,stay
1544,yes,no,53,8,no,stay
1545,no,yes,48,0,yes,stay
1546,no,no,36,0,yes,stay
1547,yes,yes,47,10,no,stay
1548,no,no,47,8,no,unsubscribe
1549,no,yes,34,10,no,stay
1550,yes,yes,47,9,no,stay
1551,no,yes,40,10,no,stay
1552,yes,yes,57,7,yes,stay
1553,no,yes,47,5,yes,stay
1554,yes,no,53,8,no,unsubscribe
1555,no,yes,48,5,yes,stay
1556,yes,yes,57,9,no,stay
1557,yes,yes,54,0,yes,stay
1558,yes,yes,48,4,yes,stay
1559,no,yes,26,0,yes,stay
1560,yes,yes,49,0,yes,stay
1561,no,yes,55,8,yes,stay
1562,no,yes,46,7,yes,stay
1563,no,yes,49,0,yes,unsubscribe
1564,yes,yes,47,7,yes,unsubscribe
1565,no,yes,29,10,no,stay
1566,no,yes,50,5,yes,unsubscribe
1567,yes,yes,45,10,no,stay
1568,yes,yes,34,10,no,stay
1569,yes,yes,45,0,yes,stay
1570,yes,yes,57,9,no,stay
1571,yes,yes,52,5,yes,stay
1572,no,yes,40,0,yes,unsubscribe
1573,yes,yes,46,5,yes,unsubscribe
1574,no,no,50,0,yes,stay
1575,no,no,36,0,yes,stay
1576,no,yes,53,0,yes,unsubscribe
1577,no,yes,50,10,no,stay
1578,yes,yes,48,10,no,stay
1579,no,no,47,0,yes,unsubscribe
1580,yes,yes,39,5,yes,stay
1581,no,no,44,8,no,unsubscribe
1582,yes,yes,47,3,yes,stay
1583,yes,no,42,0,yes,stay
1584,yes,yes,41,0,yes,stay
1585,no,yes,47,0,yes,unsubscribe
1586,no,no,30,0,yes,unsubscribe
1587,no,yes,50,7,yes,unsubscribe
1588,no,yes,47,5,yes,stay
1589,no,yes,47,5,yes,stay
1590,no,yes,57,9,no,stay
1591,yes,yes,37,7,yes,unsubscribe
1592,no,yes,41,7,yes,unsubscribe
1593,no,yes,46,4,yes,stay
1594,no,no,35,0,yes,unsubscribe
1595,yes,yes,39,3,yes,unsubscribe
1596,no,yes,49,7,yes,stay
1597,no,yes,46,10,no,unsubscribe
1598,yes,yes,56,7,yes,stay
1599,no,yes,45,5,yes,stay
1600,yes,yes,39,3,yes,unsubscribe
1601,yes,no,51,0,yes,stay
1602,yes,yes,43,9,no,stay
1603,no,yes,61,0,yes,stay
1604,yes,yes,37,2,yes,stay
1605,no,yes,31,5,yes,stay
1606,yes,yes,43,8,no,stay
1607,yes,yes,50,3,yes,stay
1608,no,yes,49,0,yes,stay
1609,no,yes,38,0,yes,stay
1610,yes,yes,43,0,yes,unsubscribe
1611,no,yes,49,4,yes,unsubscribe
1612,yes,yes,51,10,no,stay
1613,yes,yes,35,10,no,stay
1614,yes,yes,36,2,yes,unsubscribe
1615,yes,no,58,8,no,stay
1616,yes,yes,49,4,yes,unsubscribe
1617,yes,yes,48,3,yes,stay
1618,no,yes,42,10,no,stay
1619,yes,yes,39,10,no,stay
1620,yes,no,41,0,yes,unsubscribe
1621,yes,no,44,0,yes,unsubscribe
1622,no,yes,54,3,yes,stay
1623,no,no,46,0,yes,unsubscribe
1624,yes,yes,48,5,yes,unsubscribe
1625,yes,yes,48,7,yes,unsubscribe
1626,no,yes,50,10,no,stay
1627,no,yes,51,5,yes,stay
1628,no,yes,48,5,yes,unsubscribe
1629,no,no,51,2,yes,stay
1630,yes,yes,44,7,yes,unsubscribe
1631,yes,yes,41,5,yes,stay
1632,no,no,45,8,no,stay
1633,yes,yes,53,5,yes,stay
1634,yes,yes,40,5,yes,stay
1635,no,yes,57,0,yes,stay
1636,no,yes,57,7,yes,unsubscribe
1637,no,yes,46,4,yes,unsubscribe
1638,yes,yes,51,3,yes,stay
1639,no,no,47,8,no,stay
1640,no,yes,39,7,yes,unsubscribe
1641,no,yes,32,7,yes,stay
1642,yes,yes,51,4,yes,unsubscribe
1643,no,yes,53,4,yes,stay
1644,yes,yes,58,8,yes,stay
1645,no,yes,44,4,yes,stay
1646,yes,yes,64,2,yes,unsubscribe
1647,yes,yes,45,9,no,stay
1648,no,yes,51,8,no,stay
1649,yes,yes,41,5,yes,stay
1650,yes,yes,45,10,no,stay
1651,yes,yes,42,10,no,stay
1652,yes,yes,42,10,no,stay
1653,no,yes,39,3,yes,unsubscribe
1654,no,yes,51,10,no,stay
1655,yes,yes,39,3,yes,stay
1656,yes,yes,51,5,yes,stay
1657,yes,yes,39,3,yes,stay
1658,no,yes,52,3,yes,stay
1659,no,yes,42,4,yes,stay
1660,no,yes,51,9,no,stay
1661,no,yes,61,10,no,stay
1662,no,yes,45,3,yes,unsubscribe
1663,no,yes,50,8,yes,unsubscribe
1664,yes,yes,51,10,no,stay
1665,no,no,55,0,yes,stay
1666,yes,yes,39,10,no,stay
1667,no,yes,42,0,yes,stay
1668,no,yes,48,0,yes,stay
1669,yes,yes,43,10,no,stay
1670,yes,no,56,0,yes,stay
1671,no,yes,48,5,yes,stay
1672,no,yes,48,5,yes,stay
1673,no,yes,46,5,yes,unsubscribe
1674,yes,yes,45,9,no,unsubscribe
1675,no,yes,40,0,yes,unsubscribe
1676,yes,yes,43,0,yes,stay
1677,yes,no,61,0,yes,stay
1678,yes,no,48,8,no,stay
1679,no,yes,62,10,no,stay
1680,yes,yes,54,0,yes,unsubscribe
1681,no,yes,49,4,yes,unsubscribe
1682,yes,yes,40,5,yes,stay
1683,no,yes,44,3,yes,stay
1684,yes,yes,48,0,yes,stay
1685,no,yes,38,7,yes,unsubscribe
1686,yes,yes,34,9,no,stay
1687,no,yes,53,0,yes,unsubscribe
1688,no,yes,42,7,yes,unsubscribe
1689,no,yes,56,3,yes,stay
1690,no,yes,45,7,yes,stay
1691,no,yes,50,4,yes,stay
1692,no,yes,53,4,yes,stay
1693,no,yes,47,3,yes,stay
1694,yes,yes,47,7,yes,stay
1695,no,yes,44,5,yes,stay
1696,yes,yes,59,8,no,stay
1697,no,no,37,9,no,stay
1698,no,yes,49,5,yes,unsubscribe
1699,yes,no,37,8,no,stay
1700,yes,yes,37,4,yes,stay
1701,yes,no,48,0,yes,stay
1702,no,yes,46,4,yes,stay
1703,no,yes,32,2,yes,stay
1704,yes,no,46,8,no,stay
1705,no,yes,51,9,no,stay
1706,yes,yes,43,8,no,stay
1707,yes,yes,47,3,yes,stay
1708,yes,yes,37,0,yes,stay
1709,yes,yes,52,4,yes,stay
1710,yes,yes,52,8,yes,unsubscribe
1711,yes,yes,41,5,yes,stay
1712,yes,yes,52,0,yes,stay
1713,no,no,33,0,yes,unsubscribe
1714,yes,yes,54,10,no,unsubscribe
1715,yes,yes,42,5,yes,stay
1716,yes,yes,62,5,yes,unsubscribe
1717,no,yes,47,0,yes,stay
1718,yes,yes,46,3,yes,stay
1719,yes,no,39,0,yes,unsubscribe
1720,yes,yes,45,7,yes,stay
1721,no,yes,40,8,yes,stay
1722,yes,yes,32,3,yes,stay
1723,no,no,53,0,yes,stay
1724,yes,no,50,0,yes,unsubscribe
1725,no,no,53,0,yes,stay
1726,yes,yes,48,10,no,stay
1727,no,no,48,0,yes,stay
1728,yes,yes,50,10,no,stay
1729,yes,yes,52,0,yes,stay
1730,no,no,41,0,yes,unsubscribe
1731,no,no,41,0,yes,unsubscribe
1732,no,yes,45,0,yes,stay
1733,no,yes,46,0,yes,stay
1734,yes,yes,32,5,yes,stay
1735,yes,yes,39,5,yes,stay
1736,yes,yes,45,10,no,stay
1737,yes,yes,44,10,no,stay
1738,no,yes,47,0,yes,stay
1739,no,yes,48,8,no,unsubscribe
1740,no,yes,41,4,yes,stay
1741,no,yes,41,2,yes,unsubscribe
1742,no,yes,43,5,yes,stay
1743,yes,yes,45,10,no,stay
1744,no,yes,33,5,yes,unsubscribe
1745,no,no,39,0,yes,stay
1746,yes,no,46,0,yes,stay
1747,yes,yes,38,0,yes,unsubscribe
1748,yes,yes,49,2,yes,stay
1749,no,yes,43,10,no,stay
1750,no,yes,51,8,no,stay
1751,no,yes,42,9,no,stay
1752,yes,yes,40,9,no,stay
1753,no,yes,34,2,yes,stay
1754,no,yes,44,7,yes,unsubscribe
1755,yes,yes,43,10,no,stay
1756,no,no,43,0,yes,stay
1757,no,yes,37,0,yes,stay
1758,no,no,46,0,yes,stay
1759,yes,yes,48,10,no,stay
1760,yes,no,48,9,no,stay
1761,yes,yes,53,7,yes,stay
1762,no,yes,47,8,no,stay
1763,yes,yes,40,10,no,stay
1764,yes,yes,52,8,yes,stay
1765,yes,yes,50,5,yes,unsubscribe
1766,yes,yes,45,7,yes,unsubscribe
1767,yes,yes,36,8,no,stay
1768,no,yes,45,5,yes,unsubscribe
1769,yes,yes,37,0,yes,stay
1770,no,yes,52,3,yes,stay
1771,no,yes,42,10,no,stay
1772,no,yes,45,9,no,stay
1773,no,yes,51,7,yes,stay
1774,no,yes,53,9,no,stay
1775,no,yes,43,3,yes,stay
1776,yes,no,45,0,yes,unsubscribe
1777,yes,yes,54,2,yes,unsubscribe
1778,no,no,49,8,no,stay
1779,no,yes,45,10,no,stay
1780,no,yes,42,10,no,stay
1781,no,no,53,7,no,stay
1782,yes,yes,53,3,yes,stay
1783,no,yes,39,0,yes,unsubscribe
1784,yes,yes,42,10,no,stay
1785,yes,yes,44,10,no,stay
1786,no,yes,40,0,yes,unsubscribe
1787,no,yes,42,10,no,stay
1788,yes,yes,41,7,yes,stay
1789,no,yes,29,5,yes,stay
1790,yes,no,32,0,yes,stay
1791,yes,yes,44,10,no,stay
1792,no,yes,46,10,no,stay
1793,yes,yes,50,4,yes,unsubscribe
1794,yes,yes,45,10,no,stay
1795,no,yes,47,5,yes,unsubscribe
1796,yes,yes,43,10,no,stay
1797,no,yes,57,10,no,stay
1798,no,yes,32,7,yes,stay
1799,no,yes,47,9,no,stay
1800,yes,yes,50,7,yes,stay
1801,no,yes,39,9,no,stay
1802,yes,yes,34,5,yes,stay
1803,yes,no,51,2,yes,stay
1804,no,yes,49,7,yes,stay
1805,no,yes,45,10,no,stay
1806,yes,yes,64,5,yes,stay
1807,yes,no,40,8,no,unsubscribe
1808,no,yes,50,3,yes,stay
1809,no,no,55,8,no,stay
1810,yes,yes,44,7,yes,stay
1811,no,yes,32,5,yes,stay
1812,yes,no,55,8,no,stay
1813,yes,yes,27,0,yes,stay
1814,yes,yes,56,9,no,stay
1815,no,yes,46,3,yes,stay
1816,yes,yes,50,5,yes,unsubscribe
1817,yes,no,34,0,yes,unsubscribe
1818,no,yes,46,3,yes,unsubscribe
1819,yes,no,42,8,no,stay
1820,no,yes,49,5,yes,stay
1821,yes,no,38,0,yes,stay
1822,yes,yes,47,9,no,unsubscribe
1823,yes,yes,50,0,yes,stay
1824,yes,yes,46,5,yes,stay
1825,no,yes,45,0,yes,unsubscribe
1826,yes,yes,48,7,yes,unsubscribe
1827,yes,yes,47,3,yes,stay
1828,no,yes,40,0,yes,stay
1829,no,yes,47,2,yes,stay
1830,no,yes,41,9,no,stay
1831,yes,yes,51,3,yes,stay
1832,yes,yes,46,10,no,stay
1833,no,no,38,8,no,stay
1834,yes,yes,44,7,yes,unsubscribe
1835,yes,no,45,8,no,stay
1836,yes,yes,42,5,yes,unsubscribe
1837,yes,no,31,0,yes,unsubscribe
1838,yes,yes,47,0,yes,stay
1839,yes,yes,54,3,yes,unsubscribe
1840,yes,yes,46,4,yes,stay
1841,yes,yes,40,4,yes,stay
1842,yes,yes,64,10,no,stay
1843,yes,yes,40,4,yes,unsubscribe
1844,yes,no,52,0,yes,unsubscribe
1845,yes,yes,46,8,no,stay
1846,yes,yes,39,10,no,stay
1847,no,yes,53,4,yes,unsubscribe
1848,yes,yes,46,9,no,stay
1849,no,no,52,7,no,stay
1850,yes,yes,56,0,yes,stay
1851,yes,yes,49,10,no,stay
1852,yes,yes,45,2,yes,stay
1853,yes,yes,54,9,no,stay
1854,yes,yes,48,8,no,stay
1855,yes,yes,58,2,yes,stay
1856,yes,yes,47,9,no,stay
1857,yes,yes,48,3,yes,stay
1858,no,yes,58,3,yes,stay
1859,no,no,45,0,yes,stay
1860,no,yes,56,2,yes,stay
1861,no,no,51,0,yes,stay
1862,no,no,38,0,yes,unsubscribe
1863,yes,yes,33,10,no,stay
1864,no,no,44,3,yes,stay
1865,yes,no,52,0,yes,unsubscribe
1866,no,yes,40,9,no,stay
1867,no,yes,54,3,yes,stay
1868,yes,yes,40,2,yes,stay
1869,yes,yes,44,10,no,unsubscribe
1870,yes,no,45,0,yes,stay
1871,yes,yes,44,5,yes,stay
1872,yes,no,35,0,yes,unsubscribe
1873,no,yes,52,4,yes,stay
1874,yes,yes,49,10,no,stay
1875,yes,yes,52,10,no,stay
1876,no,yes,51,5,yes,stay
1877,yes,yes,41,10,no,stay
1878,yes,yes,42,7,yes,unsubscribe
1879,yes,yes,45,10,no,stay
1880,yes,yes,55,8,no,stay
1881,no,yes,49,4,yes,stay
1882,no,yes,51,4,yes,unsubscribe
1883,no,yes,45,8,yes,stay
1884,yes,yes,40,8,no,stay
1885,yes,yes,47,5,yes,stay
1886,no,yes,47,5,yes,stay
1887,no,yes,48,5,yes,stay
1888,yes,yes,42,3,yes,unsubscribe
1889,yes,yes,23,5,yes,stay
1890,yes,yes,46,5,yes,unsubscribe
1891,yes,yes,55,10,no,stay
1892,no,yes,51,9,no,stay
1893,no,yes,45,9,no,stay
1894,no,yes,51,5,yes,unsubscribe
1895,no,yes,39,7,yes,unsubscribe
1896,yes,yes,51,8,no,stay
1897,yes,yes,48,3,yes,stay
1898,yes,yes,49,0,yes,stay
1899,yes,no,43,0,yes,unsubscribe
1900,yes,yes,42,2,yes,stay
1901,yes,yes,50,7,yes,stay
1902,yes,yes,40,5,yes,unsubscribe
1903,yes,yes,43,0,yes,unsubscribe
1904,no,yes,55,8,yes,unsubscribe
1905,yes,yes,34,0,yes,stay
1906,no,yes,42,3,yes,unsubscribe
1907,no,yes,25,5,yes,stay
1908,yes,yes,49,2,yes,stay
1909,yes,yes,57,9,no,stay
1910,no,yes,44,10,no,stay
1911,yes,no,33,0,yes,unsubscribe
1912,no,yes,44,8,no,unsubscribe
1913,yes,no,45,8,no,stay
1914,yes,yes,50,0,yes,stay
1915,yes,yes,45,0,yes,unsubscribe
1916,no,yes,41,4,yes,unsubscribe
1917,yes,yes,42,5,yes,stay
1918,yes,yes,49,7,yes,stay
1919,no,no,44,0,yes,unsubscribe
1920,no,yes,48,3,yes,stay
1921,no,yes,47,5,yes,stay
1922,no,yes,48,3,yes,stay
1923,no,yes,48,0,yes,unsubscribe
1924,no,yes,52,0,yes,stay
1925,no,yes,45,10,no,stay
1926,no,yes,51,7,yes,stay
1927,yes,yes,51,10,no,stay
1928,no,yes,36,2,yes,stay
1929,no,yes,53,7,yes,unsubscribe
1930,no,yes,39,10,no,unsubscribe
1931,yes,yes,45,3,yes,stay
1932,yes,yes,51,0,yes,unsubscribe
1933,no,yes,46,7,yes,stay
1934,yes,yes,45,4,yes,stay
1935,no,yes,50,10,no,stay
1936,yes,yes,44,3,yes,stay
1937,yes,yes,40,5,yes,stay
1938,no,yes,37,5,yes,unsubscribe
1939,yes,yes,45,8,no,stay
1940,yes,yes,50,3,yes,unsubscribe
1941,no,no,39,0,yes,stay
1942,no,yes,36,0,yes,unsubscribe
1943,no,yes,49,2,yes,stay
1944,yes,yes,37,0,yes,unsubscribe
1945,yes,yes,45,4,yes,stay
1946,no,yes,43,10,no,stay
1947,no,yes,62,7,yes,stay
1948,yes,yes,45,9,no,stay
1949,no,yes,51,5,yes,unsubscribe
1950,yes,yes,38,8,no,stay
1951,no,yes,38,8,no,stay
1952,yes,yes,46,8,no,stay
1953,yes,yes,50,4,yes,stay
1954,yes,yes,43,7,yes,unsubscribe
1955,no,yes,41,7,yes,unsubscribe
1956,no,yes,44,5,yes,stay
1957,no,yes,54,5,yes,stay
1958,yes,yes,39,5,yes,stay
1959,no,yes,43,10,no,stay
1960,no,yes,48,4,yes,stay
1961,no,yes,45,5,yes,stay
1962,no,yes,53,10,no,stay
1963,no,yes,35,10,no,stay
1964,yes,yes,38,7,yes,stay
1965,no,yes,58,10,no,stay
1966,no,yes,36,9,no,stay
1967,yes,no,42,0,yes,unsubscribe
1968,no,yes,61,3,yes,stay
1969,no,yes,44,5,yes,stay
1970,yes,yes,55,10,no,stay
1971,yes,no,51,0,yes,stay
1972,yes,no,30,3,yes,stay
1973,yes,yes,47,8,yes,unsubscribe
1974,yes,no,46,0,yes,unsubscribe
1975,no,yes,60,9,no,stay
1976,no,no,36,0,yes,unsubscribe
1977,yes,yes,55,7,yes,unsubscribe
1978,no,yes,45,0,yes,unsubscribe
1979,no,yes,43,10,no,stay
1980,no,yes,37,8,yes,stay
1981,no,yes,41,4,yes,stay
1982,no,yes,39,4,yes,stay
1983,yes,yes,37,10,no,stay
1984,no,yes,43,9,no,stay
1985,no,no,37,0,yes,unsubscribe
1986,no,yes,45,9,no,stay
1987,no,yes,37,3,yes,unsubscribe
1988,yes,yes,60,4,yes,stay
1989,yes,yes,39,7,yes,unsubscribe
1990,no,yes,45,7,yes,stay
1991,yes,yes,51,7,yes,stay
1992,yes,yes,46,3,yes,unsubscribe
1993,yes,yes,51,10,no,stay
1994,no,no,49,8,no,stay
1995,no,yes,46,8,no,stay
1996,yes,yes,53,4,yes,stay
1997,yes,yes,40,10,no,stay
1998,yes,yes,45,0,yes,stay
1999,yes,yes,48,3,yes,stay
2000,no,yes,45,3,yes,unsubscribe
2001,no,yes,43,9,no,stay
2002,no,yes,55,5,yes,stay
2003,no,yes,44,0,yes,unsubscribe
2004,yes,yes,45,8,no,stay
2005,no,yes,40,10,no,stay
2006,no,yes,48,2,yes,stay
2007,no,yes,37,9,no,stay
2008,yes,yes,33,4,yes,unsubscribe
2009,no,yes,45,0,yes,unsubscribe
2010,yes,yes,40,10,no,stay
2011,no,yes,51,5,yes,stay
2012,yes,no,53,0,yes,stay
2013,no,yes,57,0,yes,stay
2014,yes,yes,40,8,yes,stay
2015,no,yes,40,5,yes,stay
2016,no,yes,46,0,yes,stay
2017,yes,yes,56,0,yes,stay
2018,yes,no,42,0,yes,unsubscribe
2019,yes,yes,36,10,no,stay
2020,yes,yes,55,5,yes,stay
2021,yes,yes,44,0,yes,stay
2022,no,yes,43,10,no,stay
2023,yes,yes,50,0,yes,stay
2024,yes,yes,46,0,yes,unsubscribe
2025,no,yes,48,4,yes,stay
2026,yes,yes,41,0,yes,stay
2027,yes,yes,45,0,yes,stay
2028,yes,yes,44,5,yes,stay
2029,yes,yes,47,10,no,unsubscribe
2030,yes,yes,33,0,yes,stay
2031,no,yes,53,7,yes,unsubscribe
2032,no,yes,60,3,yes,stay
2033,yes,yes,39,4,yes,unsubscribe
2034,no,yes,53,0,yes,stay
2035,yes,no,43,8,no,unsubscribe
2036,yes,yes,39,3,yes,stay
2037,yes,yes,54,8,no,stay
2038,no,yes,52,10,no,stay
2039,yes,yes,52,9,no,stay
2040,yes,yes,50,10,no,stay
2041,no,yes,39,2,yes,stay
2042,yes,yes,46,7,yes,stay
2043,no,yes,47,5,yes,stay
2044,yes,yes,50,4,yes,stay
2045,no,yes,50,4,yes,stay
2046,yes,yes,52,4,yes,stay
2047,yes,yes,43,0,yes,unsubscribe
2048,no,yes,50,3,yes,unsubscribe
2049,yes,yes,45,8,no,stay
2050,yes,yes,45,5,yes,stay
2051,no,yes,50,7,yes,stay
2052,no,yes,43,0,yes,stay
2053,yes,yes,52,10,no,unsubscribe
2054,no,yes,46,5,yes,stay
2055,yes,no,49,2,yes,stay
2056,yes,yes,44,3,yes,stay
2057,no,yes,33,3,yes,stay
2058,yes,yes,49,10,no,unsubscribe
2059,yes,yes,58,10,no,unsubscribe
2060,yes,yes,48,0,yes,unsubscribe
2061,no,yes,40,2,yes,unsubscribe
2062,no,yes,60,8,no,stay
2063,yes,yes,39,4,yes,stay
2064,no,no,51,8,no,stay
2065,no,yes,52,8,no,stay
2066,no,yes,38,7,yes,stay
2067,yes,no,54,0,yes,stay
2068,yes,yes,45,7,yes,unsubscribe
2069,yes,yes,54,0,yes,stay
2070,yes,yes,51,5,yes,stay
2071,yes,yes,48,0,yes,unsubscribe
2072,no,yes,36,5,yes,stay
2073,no,yes,62,9,no,stay
2074,yes,yes,53,8,yes,unsubscribe
2075,yes,yes,33,8,no,stay
2076,yes,no,50,0,yes,unsubscribe
2077,yes,yes,41,5,yes,unsubscribe
2078,yes,yes,50,0,yes,unsubscribe
2079,no,yes,48,3,yes,unsubscribe
2080,yes,yes,56,5,yes,unsubscribe
2081,no,yes,44,7,yes,stay
2082,yes,yes,41,0,yes,stay
2083,no,yes,47,10,no,stay
2084,yes,yes,50,0,yes,unsubscribe
2085,no,yes,39,3,yes,stay
2086,no,yes,47,5,yes,stay
2087,no,yes,36,7,yes,unsubscribe
2088,yes,yes,44,5,yes,stay
2089,yes,yes,51,0,yes,stay
2090,no,yes,56,2,yes,stay
2091,no,yes,54,0,yes,stay
2092,yes,yes,39,4,yes,unsubscribe
2093,yes,yes,21,10,no,stay
2094,yes,yes,40,7,yes,unsubscribe
2095,yes,yes,52,0,yes,stay
2096,no,no,50,8,no,stay
2097,no,yes,43,2,yes,stay
2098,yes,yes,41,9,no,stay
2099,no,no,50,0,yes,stay
2100,yes,yes,45,7,yes,stay
2101,yes,yes,41,10,no,stay
2102,yes,yes,41,8,no,stay
2103,yes,yes,32,0,yes,stay
2104,no,yes,55,5,yes,unsubscribe
2105,no,yes,49,5,yes,unsubscribe
2106,yes,yes,35,10,no,stay
2107,no,yes,33,7,yes,unsubscribe
2108,no,yes,48,8,no,stay
2109,no,no,45,9,no,stay
2110,yes,yes,46,3,yes,stay
2111,yes,no,47,0,yes,stay
2112,yes,yes,45,7,yes,stay
2113,no,yes,44,4,yes,stay
2114,no,yes,38,10,no,stay
2115,no,yes,43,10,no,stay
2116,yes,yes,53,2,yes,stay
2117,no,yes,39,4,yes,stay
2118,no,yes,54,5,yes,unsubscribe
2119,yes,yes,51,8,yes,stay
2120,yes,no,38,8,no,stay
2121,no,yes,54,8,no,stay
2122,yes,yes,50,10,no,stay
2123,no,yes,47,3,yes,stay
2124,yes,yes,35,5,yes,stay
2125,no,yes,65,0,yes,unsubscribe
2126,no,yes,47,0,yes,stay
2127,yes,no,45,0,yes,unsubscribe
2128,no,yes,51,4,yes,unsubscribe
2129,yes,yes,40,8,yes,stay
2130,no,yes,41,7,yes,unsubscribe
2131,no,yes,50,4,yes,stay
2132,no,yes,45,2,yes,unsubscribe
2133,no,yes,34,8,no,stay
2134,yes,yes,56,8,no,stay
2135,yes,yes,32,4,yes,unsubscribe
2136,no,yes,47,10,no,stay
2137,no,yes,50,0,yes,unsubscribe
2138,no,yes,46,0,yes,stay
2139,yes,yes,49,10,no,stay
2140,yes,yes,35,10,no,stay
2141,no,yes,49,3,yes,unsubscribe
2142,no,yes,31,10,no,unsubscribe
2143,yes,yes,39,5,yes,stay
2144,yes,yes,45,5,yes,stay
2145,no,yes,52,3,yes,stay
2146,yes,yes,59,3,yes,stay
2147,no,yes,31,10,no,stay
2148,yes,yes,36,5,yes,unsubscribe
2149,no,yes,44,10,no,stay
2150,no,yes,48,10,no,stay
2151,yes,no,47,3,yes,unsubscribe
2152,yes,yes,46,9,no,stay
2153,no,yes,39,2,yes,stay
2154,no,yes,42,0,yes,unsubscribe
2155,no,no,45,0,yes,unsubscribe
2156,yes,yes,49,7,yes,stay
2157,no,yes,50,9,no,stay
2158,no,yes,45,10,no,stay
2159,no,yes,34,5,yes,unsubscribe
2160,no,no,42,0,yes,stay
2161,yes,no,61,9,no,stay
2162,yes,yes,47,5,yes,stay
2163,no,no,44,0,yes,stay
2164,yes,yes,46,9,no,stay
2165,no,yes,47,0,yes,stay
2166,yes,yes,46,7,yes,unsubscribe
2167,yes,yes,44,5,yes,stay
2168,no,yes,45,7,yes,unsubscribe
2169,yes,yes,50,10,no,stay
2170,no,yes,48,5,yes,unsubscribe
2171,yes,yes,34,10,no,stay
2172,no,yes,44,8,no,stay
2173,no,yes,53,0,yes,stay
2174,no,yes,35,0,yes,unsubscribe
2175,no,yes,56,5,yes,stay
2176,no,yes,51,10,no,stay
2177,no,yes,42,5,yes,stay
2178,no,yes,52,9,no,unsubscribe
2179,yes,yes,43,9,no,stay
2180,yes,yes,42,0,yes,stay
2181,yes,yes,40,0,yes,stay
2182,yes,yes,59,2,yes,unsubscribe
2183,yes,yes,51,2,yes,stay
2184,no,yes,45,3,yes,stay
2185,yes,no,41,8,no,stay
2186,no,yes,34,0,yes,stay
2187,yes,yes,47,9,no,stay
2188,no,yes,38,3,yes,stay
2189,yes,yes,39,10,no,stay
2190,no,yes,34,8,yes,stay
2191,no,yes,47,5,yes,unsubscribe
2192,no,yes,49,5,yes,stay
2193,yes,yes,37,3,yes,stay
2194,yes,no,52,0,yes,stay
2195,no,yes,46,3,yes,stay
2196,no,yes,48,8,yes,stay
2197,no,yes,49,0,yes,stay
2198,yes,yes,49,0,yes,unsubscribe
2199,no,no,45,0,yes,stay
2200,no,yes,42,3,yes,unsubscribe
2201,no,yes,41,8,yes,stay
2202,yes,yes,39,5,yes,stay
2203,yes,no,42,0,yes,stay
2204,yes,yes,41,0,yes,unsubscribe
2205,no,no,43,0,yes,unsubscribe
2206,yes,no,48,7,no,stay
2207,no,yes,43,0,yes,stay
2208,no,yes,34,3,yes,stay
2209,yes,yes,43,3,yes,unsubscribe
2210,yes,yes,37,0,yes,stay
2211,yes,yes,43,4,yes,stay
2212,no,yes,29,3,yes,stay
2213,no,yes,43,10,no,stay
2214,no,yes,29,5,yes,unsubscribe
2215,no,yes,50,0,yes,stay
2216,yes,no,41,0,yes,unsubscribe
2217,no,yes,46,10,no,stay
2218,no,yes,56,10,no,stay
2219,yes,yes,33,0,yes,unsubscribe
2220,no,yes,41,0,yes,stay
2221,yes,yes,51,5,yes,stay
2222,no,yes,38,7,yes,unsubscribe
2223,yes,yes,45,4,yes,stay
2224,yes,yes,47,0,yes,stay
2225,no,yes,53,10,no,unsubscribe
2226,no,yes,42,2,yes,stay
2227,no,yes,38,0,yes,stay
2228,no,yes,56,3,yes,unsubscribe
2229,yes,yes,36,0,yes,unsubscribe
2230,no,yes,42,4,yes,unsubscribe
2231,no,yes,39,3,yes,stay
2232,yes,yes,41,10,no,stay
2233,no,yes,48,10,no,stay
2234,yes,yes,62,3,yes,stay
2235,no,yes,50,0,yes,unsubscribe
2236,no,no,50,0,yes,stay
2237,no,no,50,0,yes,unsubscribe
2238,no,yes,34,2,yes,unsubscribe
2239,yes,yes,44,8,yes,unsubscribe
